Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2008,Bronson Arroyo,Reds,40,74,1,4,6,1,5.40%,28.40%,0.098,0.282,0.197,0.246,0.295,0.243,37,0.2,-5.6,7.8,0.5,978
2008,CC Sabathia,- - -,35,53,2,4,7,0,0.00%,22.60%,0.157,0.27,0.235,0.235,0.392,0.269,58,0,-2.8,5.6,0.4,404
2008,Dan Haren,Diamondbacks,34,85,0,8,6,0,3.50%,17.60%,0.092,0.258,0.211,0.238,0.303,0.238,31,0,-7.4,9,0.4,1757
2000,Shawn Estes,Giants,32,81,1,4,10,0,2.50%,34.60%,0.103,0.333,0.206,0.229,0.309,0.235,33,0,-7.4,9.3,0.4,873
2007,Matt Morris,- - -,32,69,1,6,3,0,1.40%,24.60%,0.088,0.308,0.228,0.241,0.316,0.244,42,0,-5.3,7.4,0.4,1172
2006,Carlos Zambrano,Cubs,37,80,6,9,11,1,1.30%,33.80%,0.247,0.122,0.151,0.16,0.397,0.226,24,0.2,-7.8,9.5,0.4,305
2005,Roger Clemens,Astros,32,69,0,2,4,0,7.20%,26.10%,0.034,0.3,0.207,0.281,0.241,0.245,42,0,-5,7,0.4,815
2009,Ubaldo Jimenez,Rockies,33,77,0,5,2,0,7.80%,19.50%,0,0.295,0.22,0.292,0.22,0.244,31,0,-6.6,8.4,0.4,3374
2001,Kevin Jarvis,Padres,34,74,1,8,10,0,6.80%,27.00%,0.098,0.238,0.18,0.246,0.279,0.234,41,-0.4,-6.1,8,0.4,1037
2009,Derek Lowe,Braves,34,70,0,6,1,0,5.70%,22.90%,0,0.316,0.222,0.276,0.222,0.234,35,0,-5.6,7.6,0.4,199
2006,Eric Milton,Reds,28,58,0,8,3,0,3.40%,41.40%,0.102,0.423,0.224,0.25,0.327,0.249,40,0,-4.6,6.9,0.4,743
2000,Jon Lieber,Cubs,36,94,0,3,4,0,2.10%,29.80%,0.049,0.333,0.22,0.238,0.268,0.226,25,0,-9.6,10.8,0.4,287
2005,Luke Hudson,Reds,21,29,0,7,3,0,6.90%,31.00%,0.08,0.5,0.32,0.37,0.4,0.343,105,0,0.2,2.9,0.4,1542
2001,Nick Bierbrodt,Diamondbacks,6,10,0,3,0,0,20.00%,0.00%,0.167,0.667,0.667,0.75,0.833,0.664,309,0,2.7,1.1,0.4,1194
2005,Jeff Suppan,Cardinals,32,67,1,5,5,0,4.50%,13.40%,0.086,0.229,0.207,0.246,0.293,0.24,41,0,-5,6.8,0.4,633
2001,Brian Bohanon,Rockies,21,33,0,3,3,0,3.00%,21.20%,0.129,0.417,0.323,0.344,0.452,0.344,87,0,-0.6,3.6,0.4,1001126
2001,Woody Williams,- - -,37,90,0,11,7,0,3.30%,24.40%,0.061,0.258,0.195,0.227,0.256,0.214,27,0,-8.6,9.7,0.4,1190
2009,Zach Duke,Pirates,33,79,0,1,5,0,5.10%,22.80%,0.033,0.279,0.2,0.246,0.233,0.22,26,0,-7.3,8.6,0.4,3840
2009,Chad Billingsley,Dodgers,33,67,1,2,4,0,6.00%,35.80%,0.089,0.29,0.179,0.233,0.268,0.227,32,0,-5.6,7.3,0.4,5842
2004,Brandon Backe,Astros,34,21,1,3,6,0,4.80%,38.10%,0.188,0.571,0.313,0.389,0.5,0.388,133,0,0.9,2.3,0.4,1529
2005,Jeff Weaver,Dodgers,39,78,0,6,7,0,2.60%,24.40%,0.029,0.314,0.229,0.25,0.257,0.227,32,0,-6.7,7.9,0.4,503
2006,Tom Glavine,Mets,32,70,0,6,2,0,10.00%,25.70%,0.019,0.257,0.17,0.267,0.189,0.222,27,0,-6.7,8.3,0.4,90
2000,Javier Vazquez,Expos,33,80,0,4,1,0,2.50%,18.80%,0.031,0.3,0.231,0.254,0.262,0.233,28,0,-7.9,9.2,0.4,801
2000,Kerry Wood,Cubs,25,46,1,6,4,0,4.30%,21.70%,0.075,0.31,0.25,0.286,0.325,0.274,55,0,-2.8,5.3,0.4,304
